date	exchange_rate
2009/1/2	0
2009/1/5	0
2009/1/8	0
2009/1/11	0
2009/1/14	0
2009/1/17	0
2009/1/20	0
2009/1/23	0
2009/1/26	0
2009/1/29	0
2009/2/1	0
2009/2/4	0
2009/2/7	0
2009/2/10	0
2009/2/13	0
2009/2/16	0
2009/2/19	0
2009/2/22	0
2009/2/25	0
2009/2/28	0
2009/3/3	0
2009/3/6	0
2009/3/9	0
2009/3/12	0
2009/3/15	0
2009/3/18	0
2009/3/21	0
2009/3/24	0
2009/3/27	0
2009/3/31	0
2009/4/3	0
2009/4/6	0
2009/4/9	0
2009/4/12	0
2009/4/15	0
2009/4/18	0
2009/4/21	0
2009/4/24	0
2009/4/27	0
2009/4/30	0
2009/5/3	0
2009/5/6	0
2009/5/9	0
2009/5/12	0
2009/5/15	0
2009/5/18	0
2009/5/21	0
2009/5/24	0
2009/5/27	0
2009/5/30	0
2009/6/2	0
2009/6/5	0
2009/6/8	0
2009/6/11	0
2009/6/14	0
2009/6/17	0
2009/6/20	0
2009/6/23	0
2009/6/26	0
2009/6/29	0
2009/7/2	0
2009/7/5	0
2009/7/8	0
2009/7/11	0
2009/7/14	0
2009/7/17	0
2009/7/20	0
2009/7/23	0
2009/7/26	0
2009/7/29	0
2009/8/1	0
2009/8/4	0
2009/8/7	0
2009/8/10	0
2009/8/13	0
2009/8/16	0
2009/8/19	0
2009/8/22	0
2009/8/25	0
2009/8/28	0
2009/8/31	0
2009/9/3	0
2009/9/6	0
2009/9/9	0
2009/9/12	0
2009/9/15	0
2009/9/18	0
2009/9/21	0
2009/9/24	0
2009/9/27	0
2009/9/30	0
2009/10/3	0
2009/10/6	0
2009/10/9	0
2009/10/12	0
2009/10/15	0
2009/10/18	0
2009/10/21	0
2009/10/24	0
2009/10/26	0
2009/10/29	0
2009/11/1	0
2009/11/4	0
2009/11/7	0
2009/11/10	0
2009/11/13	0
2009/11/16	0
2009/11/19	0
2009/11/22	0
2009/11/25	0
2009/11/28	0
2009/12/1	0
2009/12/4	0
2009/12/7	0
2009/12/10	0
2009/12/13	0
2009/12/16	0
2009/12/19	0
2009/12/22	0
2009/12/25	0
2009/12/28	0
2009/12/31	0
2010/1/3	0
2010/1/6	0
2010/1/9	0
2010/1/12	0
2010/1/15	0
2010/1/18	0
2010/1/21	0
2010/1/24	0
2010/1/27	0
2010/1/30	0
2010/2/2	0
2010/2/5	0
2010/2/8	0
2010/2/11	0
2010/2/14	0
2010/2/17	0
2010/2/20	0
2010/2/23	0
2010/2/26	0
2010/3/1	0
2010/3/4	0
2010/3/7	0
2010/3/10	0
2010/3/13	0
2010/3/16	0
2010/3/19	0
2010/3/22	0
2010/3/25	0
2010/3/29	0
2010/4/1	0
2010/4/4	0
2010/4/7	0
2010/4/10	0
2010/4/13	0
2010/4/16	0
2010/4/19	0
2010/4/22	0
2010/4/25	0
2010/4/28	0
2010/5/1	0
2010/5/4	0
2010/5/7	0
2010/5/10	0
2010/5/13	0
2010/5/16	0
2010/5/19	0
2010/5/22	0
2010/5/25	0
2010/5/28	0
2010/5/31	0
2010/6/3	0
2010/6/6	0
2010/6/9	0
2010/6/12	0
2010/6/15	0
2010/6/18	0
2010/6/21	0
2010/6/24	0
2010/6/27	0
2010/6/30	0
2010/7/3	0
2010/7/6	0
2010/7/9	0
2010/7/12	0
2010/7/15	0
2010/7/18	0
2010/7/21	0
2010/7/24	0
2010/7/27	0
2010/7/30	0
2010/8/2	0
2010/8/5	0
2010/8/8	0
2010/8/11	0
2010/8/14	0
2010/8/17	0
2010/8/20	0.07
2010/8/23	0.07
2010/8/26	0.07
2010/8/29	0.06
2010/9/1	0.06
2010/9/4	0.06
2010/9/7	0.06
2010/9/10	0.06
2010/9/13	0.06
2010/9/16	0.15
2010/9/19	0.06
2010/9/22	0.06
2010/9/25	0.06
2010/9/28	0.06
2010/10/1	0.06
2010/10/4	0.06
2010/10/7	0.06
2010/10/10	0.12
2010/10/13	0.1
2010/10/16	0.12
2010/10/19	0.1
2010/10/22	0.11
2010/10/25	0.18
2010/10/28	0.19
2010/10/31	0.19
2010/11/2	0.21
2010/11/5	0.25
2010/11/8	0.36
2010/11/11	0.24
2010/11/14	0.3
2010/11/17	0.28
2010/11/20	0.29
2010/11/23	0.29
2010/11/26	0.29
2010/11/29	0.28
2010/12/2	0.25
2010/12/5	0.23
2010/12/8	0.25
2010/12/11	0.23
2010/12/14	0.23
2010/12/17	0.25
2010/12/20	0.27
2010/12/23	0.25
2010/12/26	0.27
2010/12/29	0.3
2011/1/1	0.3
2011/1/4	0.3
2011/1/7	0.32
2011/1/10	0.33
2011/1/13	0.42
2011/1/16	0.4
2011/1/19	0.35
2011/1/22	0.43
2011/1/25	0.43
2011/1/28	0.45
2011/1/31	0.61
2011/2/3	0.78
2011/2/6	0.92
2011/2/9	0.97
2011/2/12	1.09
2011/2/15	1.08
2011/2/18	1.04
2011/2/21	0.88
2011/2/24	0.96
2011/2/27	0.96
2011/3/2	0.95
2011/3/5	0.92
2011/3/8	0.9
2011/3/11	0.93
2011/3/14	0.9
2011/3/17	0.87
2011/3/20	0.79
2011/3/23	0.86
2011/3/26	0.9
2011/3/30	0.8
2011/4/2	0.8
2011/4/5	0.77
2011/4/8	0.78
2011/4/11	0.76
2011/4/14	0.99
2011/4/17	1.09
2011/4/20	1.19
2011/4/23	1.38
2011/4/26	1.71
2011/4/29	2.66
2011/5/2	3.95
2011/5/5	3.56
2011/5/8	3.75
2011/5/11	5.41
2011/5/14	8.56
2011/5/17	8.47
2011/5/20	7.28
2011/5/23	6.81
2011/5/26	7.95
2011/5/29	8.68
2011/6/1	9.47
2011/6/4	15.05
2011/6/7	19.19
2011/6/10	32.34
2011/6/13	24.87
2011/6/16	19.99
2011/6/19	17.6
2011/6/22	15.39
2011/6/25	16.95
2011/6/28	17.89
2011/7/1	17.38
2011/7/4	15.74
2011/7/7	16.44
2011/7/10	15.16
2011/7/13	14.52
2011/7/16	14.25
2011/7/19	13.93
2011/7/22	13.94
2011/7/25	14.16
2011/7/28	14.1
2011/7/31	14.06
2011/8/3	13.37
2011/8/6	11.42
2011/8/9	9.66
2011/8/12	10.35
2011/8/15	11.4
2011/8/18	11.39
2011/8/21	11.75
2011/8/24	11.47
2011/8/27	10.01
2011/8/30	9.4
2011/9/2	8.46
2011/9/5	8.56
2011/9/8	7.53
2011/9/11	6.49
2011/9/14	6.19
2011/9/17	5.18
2011/9/20	5.89
2011/9/23	5.8
2011/9/26	5.49
2011/9/29	4.95
2011/10/2	5.27
2011/10/5	5.03
2011/10/8	4.79
2011/10/11	4.23
2011/10/14	4.37
2011/10/17	3.87
2011/10/20	2.59
2011/10/23	3.31
2011/10/26	3
2011/10/29	3.39
2011/10/31	3.38
2011/11/3	3.28
2011/11/6	3.04
2011/11/9	3.09
2011/11/12	3.11
2011/11/15	2.67
2011/11/18	2.37
2011/11/21	2.3
2011/11/24	2.48
2011/11/27	2.51
2011/11/30	3
2011/12/3	3.1
2011/12/6	3.06
2011/12/9	3.04
2011/12/12	3.33
2011/12/15	3.2
2011/12/18	3.36
2011/12/21	4.08
